,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Vanderbilt University,-2568.7449,4816.8677,1734.7938,-382.81424,257.84213,-5354.583,-301.5301,5927.9165,-3570.4663,-4728.6597,-1606.0481,-3115.4094,903.1803,3256.3833,1888.9417,-1953.7852,3222.5935,1051.0304,-2154.6272,-8697.894,2573.6511,1344.3414,3600.793,-1574.3618,1922.3264,-1128.6948,-4732.4487,397.63013,-4166.8945,1279.1182,2670.4478,-1201.7252,1131.894,-1905.0934,-2466.6787,6454.5317,371.6757,306.83978,-4499.449,-553.15375,546.34784,-3854.3123,-1748.3129,1013.00726,2518.8147,-796.08673,-5070.8623,-1395.6425,-293.1932,1007.6643,2139.7874,-2361.6692,67.6041,-34.873245,311.21826,-219.16924,2532.9644,-1564.622,-2544.2305,-882.6445,566.1305,-2545.2495,2123.5674,-800.8614,-4346.278,4738.476,2744.67,3281.7637,-4845.6626,1551.0804,-1676.083,2444.8906,2161.234,403.13696,1625.8519,618.34735,565.763,1897.6301,-2587.1875,-1133.4579,-3142.9944,-2475.838,-1474.8965,2585.6062,-2398.705,39.369507,2199.0632,-2776.6965,4202.4824,650.60175,2303.465,-435.38937,2800.237,74.5262,7707.921,1199.1156,2831.0251,-186.1029,2103.0935,-2298.9937
Columbia University,-3916.8665,6877.013,2465.459,-851.65015,428.9323,-7464.5874,-504.45074,8000.6,-4807.976,-6583.866,-2534.3992,-4803.3237,1430.7672,4820.9053,2688.881,-2848.1086,4544.4907,1736.657,-2590.2847,-12303.659,3312.0835,1461.5515,4833.1475,-2467.7766,2782.4712,-1404.7947,-6853.9155,464.24707,-5830.97,1717.9939,3807.7559,-1477.7013,1722.1455,-2749.1265,-3547.3726,8863.159,662.3303,554.90753,-6147.077,-792.0322,741.0984,-5651.05,-2335.0696,1532.7347,3491.9758,-794.66766,-7251.9556,-2187.1138,-318.52005,1470.4869,3092.7434,-3117.4585,591.43256,-61.661922,260.60287,-393.48343,3859.395,-1918.177,-3448.6782,-1029.2338,777.5499,-4080.5242,2952.24,-971.9795,-5765.971,6895.5166,3579.183,4406.987,-6739.4126,2018.5911,-2601.5876,3471.569,3090.6956,442.83594,2470.3406,900.99176,769.85284,2710.345,-3274.8496,-1610.8832,-4675.7954,-3826.4043,-2042.1326,3040.363,-3599.8135,181.72574,3323.3674,-4168.0063,5721.0513,968.41174,3763.4402,-690.10846,3739.8237,58.883465,10600.087,1680.5045,3744.427,-153.86006,2774.8853,-3247.3877
Dartmouth College,-2538.5798,4594.627,1393.8503,-775.21906,407.71774,-4886.1094,-387.78137,5263.7974,-3027.8857,-4140.7266,-1564.9615,-2912.8962,832.1016,3078.771,2020.4712,-1817.7448,2979.9158,988.2163,-1582.6099,-8018.3374,2146.1755,1056.9929,3068.7156,-1469.7395,1672.0184,-1125.1981,-4289.9243,178.98837,-3928.0579,1103.1414,2658.4995,-1008.949,1003.1663,-1835.8535,-2428.1438,5824.3613,534.12585,466.34058,-4043.6597,-698.13806,291.82388,-3603.1978,-1567.2725,878.99866,2424.488,-613.96234,-4649.7373,-1396.7964,-56.40332,991.4562,2147.9866,-2031.804,304.35995,-21.368713,218.32976,-30.282095,2457.6155,-1216.835,-2303.6804,-861.5517,497.78845,-2326.32,1817.328,-591.1267,-3627.422,4578.7603,2400.3552,2962.6187,-4567.6157,1396.9133,-1702.4956,2360.8875,2032.3191,332.86258,1546.7069,514.6775,486.22003,1763.4161,-2289.2546,-828.3811,-3066.1624,-2726.1196,-1452.2678,2293.47,-2210.745,163.02377,2049.455,-2470.9202,3918.2107,750.6068,2427.8645,-187.63724,2477.3606,24.683002,7158.767,1306.4199,2748.749,-140.66307,1931.196,-2238.9365
Northwestern University,-2563.356,4727.175,1672.8777,-783.77637,264.17575,-5156.198,-421.37772,5641.117,-3215.3037,-4345.3623,-1857.3488,-3152.1125,973.4166,3049.6614,2003.1251,-1962.1289,3111.1436,917.6281,-1705.2599,-8422.929,2130.2754,1068.0933,3005.9558,-1658.6183,1605.0181,-991.5949,-4453.628,160.5112,-3946.501,1184.374,2803.3804,-1009.01086,856.92255,-2002.7295,-2444.701,6149.483,460.40344,363.45453,-4089.9946,-839.64087,451.6081,-3917.7573,-1420.9803,768.7337,2442.071,-540.2562,-4986.268,-1442.6333,-149.65526,1066.3969,2086.7053,-2135.6643,274.99728,57.693764,172.59363,-92.413,2824.3662,-1386.328,-2454.4592,-717.79865,483.06644,-2553.5024,1740.0317,-694.7095,-3859.3892,4597.3896,2581.731,3084.7954,-4695.639,1256.2627,-1736.247,2278.5674,2193.19,478.96445,1738.0127,629.387,612.7464,2020.568,-2552.7231,-655.8308,-3241.9844,-2683.9924,-1378.915,2447.3115,-2334.3508,180.92471,1942.804,-2419.447,4174.382,711.8938,2376.4983,-144.41666,2651.1042,65.485565,7422.568,1399.686,2834.0847,-290.12436,2014.8108,-2222.287
Washington University in St. Louis,-2837.8777,5090.789,1907.3142,-609.40436,-3.4585881,-5667.706,-510.03348,6296.311,-3676.991,-4765.031,-2089.7136,-3471.1746,1148.954,3331.9214,2153.6714,-2379.4348,3864.5698,1058.1409,-1889.6357,-9495.164,2618.6035,1131.464,3564.8682,-1868.8688,1790.3271,-704.1048,-5362.2817,183.00978,-4260.0396,1348.8302,2997.7178,-892.72784,977.3817,-2167.8481,-2563.8591,6683.339,145.72755,357.586,-4635.5337,-700.79675,574.62335,-4261.791,-1598.4034,1078.4868,2519.878,-671.6987,-5522.3457,-1458.9127,-249.17659,1177.2102,2340.9712,-2333.691,462.29852,14.858557,76.805595,-190.90799,3111.076,-1708.0709,-2760.8196,-646.6154,507.30676,-2932.28,2232.152,-738.7043,-4353.424,4920.1597,2563.687,3552.972,-4803.542,1213.2872,-1790.6436,2509.1892,2199.5317,632.60657,2002.991,826.7466,740.49854,2300.268,-2513.3792,-940.2984,-3507.7642,-2682.3306,-1366.4272,2685.052,-2813.9048,199.47139,2287.0144,-2718.6213,4577.807,708.09314,2814.605,-262.6184,2996.9072,125.496506,8123.911,1266.5703,2886.4749,-349.07523,2296.3464,-2399.2134
University of Notre Dame,-3776.2805,7010.347,2262.868,-1280.0901,276.86035,-7906.6694,-627.05554,8478.916,-4872.173,-6613.311,-2399.974,-4259.94,1241.3422,4821.826,3063.2964,-2847.308,4881.9395,1511.7972,-2721.6638,-12689.676,3527.0725,2039.3163,4904.373,-2223.489,2550.5527,-1606.3644,-6609.343,272.92838,-6047.1943,2040.2136,4181.9707,-1680.0438,1644.832,-2913.7268,-3801.8696,9499.297,743.32904,731.48395,-6529.2793,-1197.8093,424.64722,-5616.818,-2431.6648,953.41534,3887.1538,-1501.2771,-7624.001,-2139.8735,1.8694612,1356.4386,3255.3694,-3094.6577,79.8189,232.72087,356.06888,-112.496895,4021.7314,-2359.9436,-3737.3323,-1344.7109,1021.77356,-3825.519,3057.861,-1036.746,-5843.3145,7303.527,3873.5586,4742.878,-7432.4707,2151.1108,-2652.8464,3834.5762,3110.6543,385.7409,2532.602,1005.47473,980.355,2924.3193,-3907.0547,-1092.7289,-4717.773,-4426.81,-2066.5325,4078.4944,-3498.2793,217.92352,3122.7656,-3577.611,6298.5737,1296.0946,3562.1348,-51.971874,4169.1562,-7.412489,11575.877,1920.7507,4461.469,-373.2349,3263.8657,-3110.1948
University of Chicago,-2521.1113,4730.9287,1840.9404,-413.78796,317.95532,-5185.3335,-178.10425,5591.7173,-3374.042,-4488.3496,-1677.9215,-3292.9717,1089.8639,3063.572,1814.5286,-1899.3615,3071.2783,1143.806,-1941.4048,-8320.786,2361.7524,1082.0867,3163.8064,-1717.7622,1749.3239,-993.54565,-4527.9365,204.68901,-3925.9307,1042.1716,2690.4175,-1022.2453,732.7038,-1926.3123,-2183.5125,6085.813,458.0792,276.8505,-4010.1897,-777.8903,617.8864,-3856.2908,-1702.2135,985.0185,2168.558,-358.46866,-4940.817,-1300.6141,-74.595345,932.49146,1944.3809,-2191.5303,330.6713,-130.31053,217.87831,25.327862,2705.8367,-1401.4641,-2484.7656,-545.8342,325.20618,-2544.8286,1614.4664,-799.57074,-4011.8293,4501.226,2638.9507,3008.194,-4380.1914,1210.7936,-1677.4596,2188.5984,2209.3708,670.68524,1694.3745,760.9023,639.9559,1865.36,-2624.0552,-699.87164,-3275.2058,-2429.7078,-1153.7213,2288.7595,-2287.5237,180.64206,1882.3065,-2809.022,4145.8643,567.7555,2249.0002,-343.0907,2753.2732,20.971489,7181.809,1257.7594,2746.27,-339.30905,1937.1217,-2290.647
Cornell University,-3400.5881,5930.961,1967.4297,-1175.6288,133.19917,-6490.17,-914.8706,6972.3545,-3950.0283,-5435.0913,-2396.5095,-4041.6223,1444.0862,4007.5696,2578.844,-2819.1992,4146.7075,1042.8911,-1922.1145,-10738.749,2672.2412,1189.6626,3838.0999,-1737.8376,2018.974,-1066.969,-5893.463,156.94748,-5102.353,1526.2845,3383.718,-1137.6699,1421.7595,-2504.7341,-3176.462,7729.507,550.9406,614.28406,-5551.008,-895.99994,362.05432,-5218.8823,-1672.5875,1139.7242,3148.2075,-1083.3491,-6479.9487,-1988.6112,-213.00677,1354.2981,2806.8086,-2592.8838,486.00024,130.50642,23.370117,-170.99324,3604.882,-1771.3018,-3060.0151,-891.179,946.44763,-3513.3486,2526.7346,-766.781,-4861.0684,6030.565,3049.6006,4183.725,-5946.01,1707.3157,-2064.1663,3180.6284,2603.3135,458.1537,2418.1157,850.81305,635.06604,2486.5493,-2801.805,-985.299,-4123.986,-3644.989,-1928.9775,3196.9265,-3296.049,181.71016,2414.8418,-2996.6755,5347.8115,921.7361,3435.414,-307.51398,3234.578,184.70164,9508.349,1543.1833,3565.3274,-297.4817,2759.4478,-2769.55
University of Southern California,-3348.1992,6011.9653,2069.2534,-879.765,239.26083,-6606.233,-451.8084,7467.5503,-4235.8623,-5553.437,-2370.8716,-3865.6912,1112.4136,3888.9788,2693.0137,-2622.0276,4125.72,1145.6042,-2277.4272,-10950.037,3029.7766,1570.6526,4101.319,-2076.4023,1909.3783,-1320.5336,-5813.6064,361.3844,-5281.308,1538.7578,3612.1377,-1407.1788,1077.3092,-2776.362,-3343.2827,8272.875,515.9286,569.1198,-5653.2417,-863.48773,422.5624,-4888.7427,-1799.9772,974.5431,3388.809,-653.0817,-6557.7183,-1879.1619,-217.82925,1401.0457,2953.9893,-2666.1116,361.49197,-86.464226,419.48328,-465.5842,3495.0508,-1956.8019,-3285.6816,-1211.0536,514.0711,-3292.398,2591.7844,-867.236,-5140.105,5923.4355,3393.7617,4295.4897,-6131.5103,1693.5922,-2122.596,2965.4902,2620.7578,556.32886,2331.5503,588.2635,886.2628,2722.93,-3123.4292,-1114.4764,-4279.58,-3357.9104,-1989.0099,3288.2378,-3145.4263,185.0852,2668.5432,-2979.068,5496.3755,1078.5765,3074.4631,-169.87627,3586.0488,63.667233,9947.823,2009.3784,3791.6914,-236.34811,2561.5017,-3078.1353
Pomona College,-2704.1921,4980.192,1237.1824,-1173.8611,565.3342,-4824.123,-597.9085,5483.1665,-3067.689,-4207.891,-1786.2496,-3082.3936,983.3732,3084.3923,2504.9446,-2188.086,3134.0425,823.9845,-1349.5908,-8512.531,1969.1909,887.50226,2795.418,-1349.8547,1590.2067,-941.2481,-4625.063,-121.13442,-4244.365,1013.7827,2596.8374,-889.59375,1097.8276,-2009.6542,-2785.0679,5712.3755,329.7702,726.4454,-4014.97,-867.573,-33.686954,-3877.7327,-1440.2307,908.3254,2571.4512,-719.8166,-4732.897,-1682.1404,53.506275,1561.2012,2248.7346,-2056.6665,444.86978,-39.199062,336.4426,1.4634897,2701.4988,-1174.6752,-2557.9136,-795.7392,341.2938,-2352.3555,1870.7255,-376.7774,-3488.736,4962.511,2396.8218,3382.7705,-4825.7876,1385.8582,-1471.7628,2600.8105,2265.981,284.4509,1837.5961,520.0674,473.2401,1906.5978,-2151.1677,-749.1202,-3252.9846,-3233.7175,-1820.48,2578.3745,-2084.5667,257.20645,2312.735,-2196.7039,4216.483,826.4711,2881.4648,8.734527,2715.3757,367.9341,7565.322,1584.0466,2902.0876,1.1688589,2050.0737,-2442.5671
